paper_id,avg_period,pollutant,pollutant_raw,setting,unit,summary_type,value,variability_type,variability_value,unit_norm,summary_type_norm,who_band
Alemany_2021_6864,Annual average,PM10,PM10,Not specified,μg/m³,Mean,37.9,SD,4.4,μg/m³,mean,Moderate (20.1–70 — meets IT-3/IT-2/IT-1)
Li_2019_2153,Annual average,NO2,NO2,Outdoor,μg/m³,Mean,57.16,SD,19.92,μg/m³,mean,High (>40 — exceeds all interim targets)
Abramson_2020_0549,Annual average,PM10,PM10,Outdoor,μg/m³,Mean,26.9,SD,1.93,μg/m³,mean,Moderate (20.1–70 — meets IT-3/IT-2/IT-1)
Darras-Hostens_2024_2006,Annual average,PM10,PM10,Outdoor,μg/m³,Mean,26.53,NA,NA,μg/m³,mean,Moderate (20.1–70 — meets IT-3/IT-2/IT-1)
Havet_2019_5320,Annual average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,15,SD,2.04,μg/m³,mean,Moderate (10.1–35 — meets IT-3/IT-2/IT-1)
Yang_2019_0318,Annual average,SO2,SO2,Outdoor,μg/m³,Mean,54.4,SD,14.3,μg/m³,mean,No WHO annual guideline available
Kim_2022_4164-y,Annual average,PM10,PM10,Not specified,μg/m³,Mean,50.2,SD,49,μg/m³,mean,Moderate (20.1–70 — meets IT-3/IT-2/IT-1)
Hu_2023_4382,Annual average,NO2,NO2,Outdoor,μg/m³,Mean,29.1,IQR,19,μg/m³,mean,Moderate (20.1–40 — meets IT-2/IT-1)
Kogevinas_2021_9726,Annual average,O3,O3,Not specified,μg/m³,Mean,65,SD,6.95,μg/m³,mean,No WHO annual guideline available
Li_2019_2153,Annual average,SO2,SO2,Outdoor,μg/m³,Mean,39.52,SD,29.26,μg/m³,mean,No WHO annual guideline available
Havet_2019_5320,Annual average,O3,O3,Outdoor,μg/m³,Mean,43.9,SD,4.62,μg/m³,mean,No WHO annual guideline available
Yang_2019_0318,Annual average,NO2,NO2,Outdoor,μg/m³,Mean,35.3,SD,5.5,μg/m³,mean,Moderate (20.1–40 — meets IT-2/IT-1)
Hu_2023_4382,Annual average,O3,O3,Outdoor,μg/m³,Mean,90.1,IQR,6.2,μg/m³,mean,No WHO annual guideline available
Li_2019_2153,Annual average,O3,O3,Outdoor,μg/m³,Mean,105.26,SD,51.62,μg/m³,mean,No WHO annual guideline available
Yang_2019_0318,Annual average,O3,O3,Outdoor,μg/m³,Mean,49.4,SD,14.1,μg/m³,mean,No WHO annual guideline available
Li_2019_2153,Annual average,PM10,PM10,Not specified,μg/m³,Mean,87.82,SD,42.22,μg/m³,mean,High (>70 — exceeds all interim targets)
Abramson_2020_0549,Annual average,O3,O3,Outdoor,μg/m³,Mean,60,SD,2.99,μg/m³,mean,No WHO annual guideline available
Li_2019_2153,Annual average,PM2.5,PM2.5,Not specified,μg/m³,Mean,51.36,SD,24.84,μg/m³,mean,High (>35 — exceeds all interim targets)
Li_2019_2153,Annual average,NO2,NO2,Not specified,μg/m³,Mean,16.69,SD,8.5,μg/m³,mean,Low (≤20 — meets AQG/IT-3)
Li_2019_2153,Annual average,SO2,SO2,Not specified,μg/m³,Mean,37.73,SD,14.69,μg/m³,mean,No WHO annual guideline available
Li_2019_2153,Annual average,O3,O3,Not specified,μg/m³,Mean,134.34,SD,52.97,μg/m³,mean,No WHO annual guideline available
