paper_id,avg_period,pollutant,pollutant_raw,setting,unit,summary_type,value,variability_type,variability_value,unit_norm,summary_type_norm,value_ugm3,who_band
Huang_2021_6605,Daily average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,27.96,SD,10.77,μg/m³,mean,27.96,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Zhang_2024_2548,Daily average,Sulfate (SO4 2-),SO₄²⁻,Outdoor,μg/m³,Mean,10.01,SD,3.94,μg/m³,mean,10.01,No WHO 24-hr guideline available
Tang_2021_650z,Daily average,PM10,PM10,Not specified,μg/m³,Mean,58.36,SD,29.36,μg/m³,mean,58.36,Moderate (50.1–150 — meets IT-3/IT-2/IT-1)
Riggs_2021_6890,Daily average,PM10,PM10,Outdoor,μg/m³,Mean,23,SD,11,μg/m³,mean,23,Low (≤50 — meets AQG/IT-4)
Yang_2021_1085,Daily average,PM10,PM 10,Outdoor,μg/m³,Mean,66.84,SD,10.55,μg/m³,mean,66.84,Moderate (50.1–150 — meets IT-3/IT-2/IT-1)
Hautekiet_2021_6332,Daily average,Black Carbon,"BC (recent, week)",Outdoor,μg/m³,Mean,1.6,IQR,NA,μg/m³,mean,1.6,No WHO 24-hr guideline available
Yue Guo_2021_9063,Daily average,PM1,PM1.0,Not specified,μg/m³,Mean,68.8,SD,33.6,μg/m³,mean,68.8,No WHO 24-hr guideline available
Chen_2021_6329,Daily average,PM2.5,PM2.5(CRD group),Not specified,μg/m³,Mean,43.9,SD,NA,μg/m³,mean,43.9,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Zhang_2019_2061,Daily average,PM2.5,PM2.5 (Haojiang),Outdoor,μg/m³,Mean,26.68,NA,NA,μg/m³,mean,26.68,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
La Marca_2020_a214,Daily average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,19.3,SD,3.6,μg/m³,mean,19.3,Low (≤25 — meets AQG/IT-4)
Carandina_2024_9783,Daily average,NO2,NO2,Indoor,μg/m³,Mean,16.7,SD,3.6,μg/m³,mean,16.7,Low (≤25 — meets AQG)
Zhou_2019_.039,Daily average,NO2,NO2 (entire pregnancy),Outdoor,μg/m³,Mean,44.19,SD,2.77,μg/m³,mean,44.19,Moderate (25.1–120 — meets IT-1)
Zhang_2019_8687,Daily average,NO2,NO2 (during games),Outdoor,μg/m³,Mean,42.6,SD,14.3,μg/m³,mean,42.6,Moderate (25.1–120 — meets IT-1)
Rzymski_2022_9469,Daily average,PM2.5,PM2.5 (24hr),Outdoor,μg/m³,Mean,17.5,SD,9.1,μg/m³,mean,17.5,Low (≤25 — meets AQG/IT-4)
Zhao_2024_3435,Daily average,PM10,PM10,Outdoor,μg/m³,Mean,91.8,SD,35.1,μg/m³,mean,91.8,Moderate (50.1–150 — meets IT-3/IT-2/IT-1)
Zhang_2024_1897,Daily average,Black Carbon,BC,Not specified,μg/m³,Mean,0.25,SD,0.26,μg/m³,mean,0.25,No WHO 24-hr guideline available
Li_2024_2688,Daily average,NO2,NO2,Outdoor,μg/m³,Mean,73.1,SD,6.8,μg/m³,mean,73.1,Moderate (25.1–120 — meets IT-1)
Peng_2023_5803,Daily average,O3,O₃,Indoor,μg/m³,Mean,16,SD,14.7,μg/m³,mean,16,No WHO 24-hr guideline available
Zu_2024_0104,Daily average,PM10,PM10 (First trimester),Outdoor,μg/m³,Mean,92.66,SD,18.27,μg/m³,mean,92.66,Moderate (50.1–150 — meets IT-3/IT-2/IT-1)
Vrijens_2020_5156,Daily average,NO2,NO2,Outdoor,μg/m³,Mean,17.98,SD,4.57,μg/m³,mean,17.98,Low (≤25 — meets AQG)
Li_2023_7518,Daily average,PM10,PM10,Outdoor,μg/m³,Mean,65.2,SD,16.2,μg/m³,mean,65.2,Moderate (50.1–150 — meets IT-3/IT-2/IT-1)
Romero-Gutierrez_2024_7505,Daily average,PM2.5,PM2.5,Indoor,μg/m³,Mean,8.74,SD; IQR,NA,μg/m³,mean,8.74,Low (≤25 — meets AQG/IT-4)
Raqib_2023_8137,Daily average,Black Carbon,"Black Carbon (baseline, pre-intervention)",Not specified,μg/m³,Mean,7.36,SD,3.07,μg/m³,mean,7.36,No WHO 24-hr guideline available
Chi_2019_2521,Daily average,PM2.5,"PM2.5,os",Indoor,μg/m³,Mean,44.9,IQR,45.3,μg/m³,mean,44.9,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
